age,sex,education,occupation,hours_per_week,capital_gain,income
21,Male,Bachelors,Sales,59,160,<=50K
40,Female,Doctorate,Sales,39,205,<=50K
30,Male,Some-college,Craft-repair,44,1986,>50K
46,Male,Bachelors,Craft-repair,44,9208,>50K
34,Male,Bachelors,Prof-specialty,53,6469,>50K
43,Male,HS-grad,Craft-repair,55,417,<=50K
40,Female,HS-grad,Other-service,13,272,<=50K
48,Female,Masters,Other-service,23,497,<=50K
48,Male,Some-college,Exec-managerial,49,484,>50K
18,Male,HS-grad,Prof-specialty,46,1550,>50K
41,Male,HS-grad,Craft-repair,54,26,>50K
50,Female,Masters,Other-service,46,36,<=50K
65,Male,Bachelors,Other-service,33,643,>50K
37,Female,Some-college,Other-service,31,1802,<=50K
56,Male,Doctorate,Other-service,55,115,>50K
18,Male,Doctorate,Other-service,52,791,<=50K
50,Male,Masters,Other-service,42,979,>50K
22,Male,HS-grad,Exec-managerial,44,1708,>50K
49,Female,Doctorate,Craft-repair,41,61,>50K
35,Female,HS-grad,Craft-repair,27,1438,>50K
48,Male,Some-college,Craft-repair,47,1273,<=50K
37,Male,Bachelors,Prof-specialty,57,1657,>50K
31,Female,HS-grad,Exec-managerial,22,4569,<=50K
65,Male,Some-college,Other-service,34,223,>50K
32,Male,HS-grad,Prof-specialty,53,3958,>50K
18,Female,HS-grad,Sales,26,115,<=50K
34,Female,Masters,Prof-specialty,31,2169,>50K
34,Male,Some-college,Other-service,33,91,>50K
25,Male,Bachelors,Other-service,43,1727,>50K
21,Male,Some-college,Craft-repair,51,435,>50K
40,Male,HS-grad,Prof-specialty,51,6441,>50K
30,Female,Bachelors,Other-service,40,48,<=50K
47,Male,Doctorate,Other-service,34,713,>50K
25,Male,HS-grad,Exec-managerial,42,1794,<=50K
53,Female,Bachelors,Other-service,28,112,>50K
32,Male,HS-grad,Other-service,44,948,>50K
50,Female,Bachelors,Prof-specialty,43,2527,<=50K
48,Female,Masters,Other-service,36,366,<=50K
41,Male,HS-grad,Other-service,44,224,<=50K
33,Male,Bachelors,Exec-managerial,47,4110,>50K
20,Male,Some-college,Sales,53,72,>50K
32,Male,HS-grad,Prof-specialty,46,1143,>50K
38,Male,HS-grad,Exec-managerial,50,3374,>50K
39,Female,HS-grad,Prof-specialty,30,4700,<=50K
40,Female,HS-grad,Other-service,34,23,>50K
30,Male,HS-grad,Sales,43,508,<=50K
20,Male,HS-grad,Craft-repair,52,137,<=50K
26,Female,HS-grad,Prof-specialty,34,1837,>50K
43,Male,Masters,Other-service,35,239,>50K
45,Female,HS-grad,Craft-repair,25,35,<=50K
