age,sex,race,priors_count,juv_fel_count,charge_degree,days_b_screening_arrest,two_year_recid
24,Male,Caucasian,2,0,M,7,0
35,Male,Caucasian,2,0,F,19,0
21,Male,African-American,3,1,M,13,1
31,Male,African-American,0,2,M,13,1
23,Male,African-American,6,1,F,40,1
29,Male,African-American,1,1,F,36,1
35,Male,Caucasian,1,0,M,11,0
40,Male,Caucasian,0,0,F,36,0
40,Male,Caucasian,1,0,F,28,0
18,Male,African-American,2,1,M,11,1
28,Female,African-American,2,1,F,32,0
41,Male,Caucasian,2,1,M,13,0
51,Male,Caucasian,1,1,M,5,0
30,Male,Other,2,0,F,36,1
44,Female,Caucasian,1,1,M,13,0
18,Female,Caucasian,0,0,M,14,1
33,Female,African-American,0,1,F,40,1
18,Male,African-American,1,0,M,8,0
40,Female,Caucasian,0,0,F,19,1
32,Female,Caucasian,0,0,M,11,0
32,Male,African-American,2,1,F,32,1
25,Female,African-American,3,2,M,21,1
27,Male,Other,3,0,M,10,0
45,Male,African-American,6,2,F,32,0
22,Male,African-American,4,3,M,13,0
18,Male,Caucasian,2,0,F,38,1
31,Male,Caucasian,1,0,F,30,0
31,Male,Caucasian,1,0,M,13,1
18,Male,African-American,6,0,M,11,0
18,Male,African-American,3,0,M,12,1
27,Male,African-American,2,2,M,15,1
29,Male,Caucasian,1,1,M,15,0
31,Female,African-American,6,1,F,45,1
18,Male,African-American,3,1,M,19,1
38,Male,Hispanic,5,0,M,7,1
22,Male,African-American,5,2,F,30,1
41,Female,Caucasian,2,1,F,28,0
39,Male,Caucasian,3,1,M,7,0
28,Male,African-American,4,1,M,6,0
23,Male,African-American,0,0,F,28,0
18,Male,African-American,5,2,F,41,0
22,Male,African-American,0,1,F,44,1
34,Male,Caucasian,2,1,F,37,1
29,Male,Hispanic,3,1,M,14,0
30,Male,Hispanic,2,2,M,12,0
21,Male,African-American,1,2,F,49,0
23,Male,Caucasian,4,1,M,13,1
22,Male,Hispanic,2,0,M,7,1
29,Male,African-American,5,1,M,18,0
33,Female,Hispanic,2,1,F,27,0
24,Male,African-American,3,1,F,26,1
45,Male,Caucasian,1,0,M,7,1
33,Male,Caucasian,2,1,M,9,0
41,Female,Hispanic,3,0,F,25,1
32,Male,African-American,2,1,M,15,0
31,Male,African-American,4,0,F,35,1
26,Male,Hispanic,1,0,M,7,0
24,Male,Hispanic,1,0,F,25,0
26,Male,African-American,4,0,M,19,1
31,Male,Other,0,0,F,30,0
18,Male,African-American,6,2,F,33,1
23,Male,African-American,5,1,M,23,0
19,Male,Hispanic,5,1,M,7,1
23,Male,Hispanic,1,0,M,10,0
29,Male,Caucasian,0,0,M,9,1
28,Male,African-American,8,1,M,13,0
30,Male,Caucasian,0,1,M,11,0
40,Female,Caucasian,0,1,M,13,0
31,Male,Hispanic,0,2,F,33,0
37,Female,African-American,1,1,F,25,0
24,Male,Caucasian,0,1,M,8,1
34,Male,Hispanic,2,2,M,8,1
18,Male,African-American,2,0,F,35,0
31,Male,Caucasian,1,0,M,11,0
20,Male,African-American,3,3,M,12,1
40,Female,Caucasian,0,0,M,15,0
30,Male,African-American,2,0,M,18,1
23,Male,Caucasian,0,0,M,5,0
18,Female,Hispanic,2,0,M,10,0
30,Male,Caucasian,1,1,F,36,1
31,Female,Caucasian,1,0,M,6,0
22,Male,African-American,3,2,F,25,0
28,Male,Caucasian,1,0,F,26,0
45,Male,African-American,6,1,M,13,0
35,Male,Caucasian,1,0,M,8,0
25,Female,African-American,2,3,M,17,0
38,Male,African-American,2,1,F,36,0
29,Male,African-American,2,2,M,14,0
40,Male,Caucasian,1,0,M,12,1
28,Male,African-American,8,0,M,14,1
21,Male,African-American,3,0,F,33,1
18,Male,Caucasian,1,1,M,14,1
40,Female,Hispanic,0,0,M,11,0
32,Male,African-American,1,1,M,12,0
26,Female,African-American,3,1,F,33,0
46,Female,Caucasian,0,0,F,30,0
32,Male,Hispanic,0,0,F,31,0
38,Male,Caucasian,0,0,F,37,1
39,Male,Caucasian,0,0,M,13,0
42,Male,African-American,2,1,M,14,0
30,Male,Caucasian,2,0,F,36,1
32,Male,Hispanic,5,0,F,30,1
35,Male,Hispanic,1,0,F,30,0
28,Male,Other,1,0,M,9,0
41,Female,Caucasian,0,1,M,11,0
39,Male,African-American,3,2,M,11,1
25,Male,Caucasian,0,1,M,8,1
31,Female,Caucasian,0,2,F,31,0
45,Female,Caucasian,0,0,M,10,0
18,Male,African-American,8,2,M,10,1
18,Male,African-American,2,2,F,30,1
34,Male,Caucasian,1,1,M,12,0
32,Male,Other,2,0,F,47,1
33,Male,African-American,4,2,F,31,1
38,Male,Other,2,0,M,10,1
36,Male,Caucasian,0,2,M,9,0
18,Female,African-American,3,0,M,15,0
20,Male,African-American,3,2,F,28,1
20,Male,African-American,2,0,M,12,1
34,Male,African-American,3,2,M,11,0
22,Male,Hispanic,3,0,F,26,1
36,Male,Hispanic,2,1,M,9,1
