age,age_group,credit_amount,duration,purpose,savings,employment,credit_risk
61,Middle-aged+,3471,36,other,rich,4-7yr,bad
48,Middle-aged+,500,60,car,quite rich,unemployed,good
35,Middle-aged+,920,6,other,little,4-7yr,good
35,Middle-aged+,2583,12,other,moderate,1-4yr,good
50,Middle-aged+,500,36,car,moderate,>7yr,good
54,Middle-aged+,5995,36,other,little,1-4yr,good
18,Young,599,48,other,moderate,<1yr,bad
19,Young,8738,24,other,moderate,>7yr,bad
44,Middle-aged+,500,6,repairs,little,4-7yr,good
39,Middle-aged+,578,12,other,little,1-4yr,good
52,Middle-aged+,3115,24,car,quite rich,>7yr,good
60,Middle-aged+,1354,6,car,little,>7yr,good
18,Young,597,24,repairs,moderate,<1yr,bad
34,Middle-aged+,2899,36,furniture,moderate,1-4yr,good
54,Middle-aged+,952,48,furniture,rich,1-4yr,good
50,Middle-aged+,6490,24,furniture,moderate,<1yr,bad
32,Middle-aged+,1122,12,repairs,rich,>7yr,good
34,Middle-aged+,7923,36,other,little,>7yr,good
51,Middle-aged+,532,24,car,moderate,1-4yr,good
27,Young,4121,60,car,little,1-4yr,bad
40,Middle-aged+,6457,60,furniture,quite rich,4-7yr,bad
57,Middle-aged+,500,48,furniture,little,<1yr,bad
18,Young,1539,36,car,little,1-4yr,good
18,Young,7260,24,other,rich,<1yr,good
51,Middle-aged+,11253,6,other,rich,<1yr,bad
25,Young,500,24,education,moderate,>7yr,good
32,Middle-aged+,513,36,car,quite rich,unemployed,good
18,Young,6255,12,other,little,1-4yr,good
33,Middle-aged+,500,24,other,little,1-4yr,good
46,Middle-aged+,4894,6,other,rich,4-7yr,good
47,Middle-aged+,7328,12,repairs,little,unemployed,bad
48,Middle-aged+,1816,60,car,little,1-4yr,bad
18,Young,3401,48,car,little,4-7yr,bad
31,Middle-aged+,500,12,furniture,little,4-7yr,good
28,Young,6436,48,furniture,quite rich,4-7yr,bad
36,Middle-aged+,1077,24,education,moderate,4-7yr,good
54,Middle-aged+,2035,36,car,little,1-4yr,good
42,Middle-aged+,5847,24,other,moderate,4-7yr,good
36,Middle-aged+,1619,24,repairs,little,4-7yr,bad
40,Middle-aged+,4482,36,car,rich,4-7yr,good
51,Middle-aged+,2654,60,repairs,quite rich,1-4yr,good
38,Middle-aged+,584,24,furniture,quite rich,>7yr,good
46,Middle-aged+,1540,60,repairs,rich,1-4yr,bad
32,Middle-aged+,23362,24,education,little,1-4yr,good
38,Middle-aged+,9707,36,car,rich,<1yr,good
33,Middle-aged+,5314,36,repairs,moderate,4-7yr,good
49,Middle-aged+,1015,12,furniture,moderate,4-7yr,good
38,Middle-aged+,928,6,furniture,quite rich,4-7yr,good
19,Young,3077,12,car,little,>7yr,good
22,Young,5885,24,repairs,rich,4-7yr,good
32,Middle-aged+,792,6,repairs,quite rich,4-7yr,good
40,Middle-aged+,3030,24,education,little,1-4yr,good
63,Middle-aged+,2325,12,car,little,1-4yr,good
45,Middle-aged+,2326,48,education,moderate,4-7yr,good
30,Middle-aged+,1613,12,education,quite rich,4-7yr,good
50,Middle-aged+,956,12,car,little,4-7yr,bad
54,Middle-aged+,723,36,car,little,>7yr,good
38,Middle-aged+,805,24,car,rich,4-7yr,good
52,Middle-aged+,5518,48,other,little,4-7yr,good
21,Young,2978,36,furniture,moderate,1-4yr,bad
62,Middle-aged+,1207,6,repairs,moderate,>7yr,good
27,Young,2823,48,education,quite rich,<1yr,bad
41,Middle-aged+,2474,36,furniture,moderate,4-7yr,good
18,Young,5339,48,car,quite rich,<1yr,bad
44,Middle-aged+,2930,12,repairs,moderate,unemployed,good
47,Middle-aged+,3691,12,furniture,little,unemployed,good
18,Young,586,48,education,moderate,>7yr,bad
37,Middle-aged+,1636,60,furniture,moderate,4-7yr,bad
30,Middle-aged+,4622,12,education,moderate,4-7yr,good
44,Middle-aged+,2632,60,education,little,1-4yr,good
18,Young,3212,24,car,quite rich,1-4yr,good
64,Middle-aged+,500,24,furniture,rich,4-7yr,good
35,Middle-aged+,10439,24,education,moderate,1-4yr,bad
33,Middle-aged+,2894,6,car,little,<1yr,good
25,Young,2805,24,furniture,little,>7yr,good
52,Middle-aged+,4322,24,repairs,quite rich,1-4yr,good
60,Middle-aged+,1619,12,repairs,quite rich,4-7yr,good
19,Young,1589,48,other,moderate,1-4yr,good
30,Middle-aged+,5938,12,education,moderate,4-7yr,good
51,Middle-aged+,1552,6,other,little,1-4yr,bad
44,Middle-aged+,2787,6,repairs,rich,unemployed,good
26,Young,1548,6,furniture,little,4-7yr,good
41,Middle-aged+,11626,24,education,quite rich,1-4yr,bad
51,Middle-aged+,10225,12,car,little,<1yr,good
25,Young,741,24,education,rich,<1yr,bad
45,Middle-aged+,500,6,car,moderate,<1yr,good
53,Middle-aged+,1939,36,furniture,moderate,1-4yr,bad
39,Middle-aged+,1406,60,other,rich,4-7yr,good
29,Young,5914,12,education,quite rich,1-4yr,good
46,Middle-aged+,3675,48,repairs,moderate,4-7yr,good
31,Middle-aged+,500,12,furniture,moderate,1-4yr,good
71,Middle-aged+,1453,36,education,rich,<1yr,good
23,Young,1969,48,car,little,<1yr,bad
42,Middle-aged+,500,24,furniture,little,>7yr,bad
57,Middle-aged+,978,24,education,quite rich,<1yr,good
31,Middle-aged+,3208,6,education,moderate,4-7yr,good
20,Young,5015,36,education,little,1-4yr,bad
22,Young,3153,24,repairs,little,1-4yr,good
26,Young,1347,48,car,moderate,unemployed,good
30,Middle-aged+,1608,24,furniture,quite rich,1-4yr,good
39,Middle-aged+,2835,48,car,quite rich,1-4yr,bad
39,Middle-aged+,15716,60,other,little,1-4yr,bad
47,Middle-aged+,3246,24,repairs,quite rich,>7yr,bad
44,Middle-aged+,844,36,repairs,moderate,4-7yr,good
18,Young,6596,12,car,moderate,>7yr,good
53,Middle-aged+,1132,48,education,moderate,1-4yr,bad
28,Young,8498,36,other,quite rich,1-4yr,good
18,Young,1053,36,repairs,little,1-4yr,bad
43,Middle-aged+,500,24,other,moderate,1-4yr,bad
35,Middle-aged+,1448,36,car,little,4-7yr,good
29,Young,8881,12,other,quite rich,4-7yr,good
30,Middle-aged+,3628,36,car,rich,1-4yr,good
50,Middle-aged+,1813,60,car,rich,>7yr,good
37,Middle-aged+,3270,36,car,quite rich,unemployed,bad
35,Middle-aged+,8049,36,car,moderate,1-4yr,good
41,Middle-aged+,3715,36,car,moderate,4-7yr,bad
19,Young,2748,12,other,moderate,unemployed,bad
39,Middle-aged+,3753,36,education,quite rich,4-7yr,good
